,X,Y,Size,Angle,Response,Octave,Class_Id
<KeyPoint 0000015C6FD20840>,1086.6893310546875,295.87127685546875,4.46211051940918,178.38272094726562,0.023617271333932877,15663360.0,-1.0
<KeyPoint 0000015C6FD20870>,1088.9708251953125,30.203405380249023,4.241574764251709,268.6794738769531,0.024182014167308807,11993344.0,-1.0
<KeyPoint 0000015C6FD208A0>,1093.4715576171875,2174.375244140625,1.8723052740097046,179.18399047851562,0.014360458590090275,3015167.0,-1.0
<KeyPoint 0000015C6FD208D0>,1094.443115234375,2134.30859375,1.8815840482711792,186.80410766601562,0.016948239877820015,3342847.0,-1.0
<KeyPoint 0000015C6FD20900>,1095.02978515625,406.99481201171875,2.0803415775299072,178.7295684814453,0.018249133601784706,10617343.0,-1.0
<KeyPoint 0000015C6FD20930>,1095.24853515625,2157.292236328125,2.315894603729248,180.3377685546875,0.02177409827709198,1704703.0,-1.0
<KeyPoint 0000015C6FD20960>,1095.564453125,2108.279052734375,2.4105746746063232,260.20050048828125,0.016645122319459915,4588287.0,-1.0
<KeyPoint 0000015C6FD20990>,1095.666015625,389.75958251953125,3.838765859603882,179.88587951660156,0.02632220834493637,4784384.0,-1.0
<KeyPoint 0000015C6FD209C0>,1095.8330078125,2166.539794921875,2.0069451332092285,173.5887451171875,0.026171162724494934,8061439.0,-1.0
<KeyPoint 0000015C6FD209F0>,1095.8330078125,2166.539794921875,2.0069451332092285,357.5290222167969,0.026171162724494934,8061439.0,-1.0
<KeyPoint 0000015C6FD20A20>,1095.8663330078125,2178.18505859375,2.6248409748077393,0.676116943359375,0.026415789499878883,10748671.0,-1.0
<KeyPoint 0000015C6FD20A50>,1095.8663330078125,2178.18505859375,2.6248409748077393,177.2814178466797,0.026415789499878883,10748671.0,-1.0
<KeyPoint 0000015C6FD20A80>,1097.2615966796875,2183.654296875,3.3366546630859375,80.27236938476562,0.015164952725172043,11404287.0,-1.0
<KeyPoint 0000015C6FD20AB0>,1097.2974853515625,2146.666259765625,40.10256576538086,221.99896240234375,0.040400855243206024,7406083.0,-1.0
<KeyPoint 0000015C6FD20AE0>,1099.2576904296875,2128.232177734375,25.205394744873047,228.10678100585938,0.0407031811773777,7209730.0,-1.0
<KeyPoint 0000015C6FD20B10>,1100.5941162109375,513.50830078125,3.417642593383789,179.8389892578125,0.024523351341485977,13108223.0,-1.0
<KeyPoint 0000015C6FD20B40>,1106.515869140625,2109.49169921875,5.0732741355896,268.1445617675781,0.02856104075908661,8258048.0,-1.0
<KeyPoint 0000015C6FD20B70>,1106.9300537109375,2110.3759765625,6.432881832122803,266.9241027832031,0.028576252982020378,8717056.0,-1.0
<KeyPoint 0000015C6FD20BA0>,1114.4288330078125,2108.91650390625,2.4773926734924316,279.24725341796875,0.013619457371532917,6554367.0,-1.0
<KeyPoint 0000015C6FD20BD0>,1118.1785888671875,2077.414306640625,49.3125,188.48350524902344,0.04434005171060562,5636867.0,-1.0
<KeyPoint 0000015C6FD20C00>,1118.1785888671875,2077.414306640625,49.3125,227.00608825683594,0.04434005171060562,5636867.0,-1.0
