cluster1,cluster1response,cluster1descriptor
"(935.7666625976562, 360.6251525878906, 3.0352084636688232, 157.83180236816406, 0.04593885317444801, 4523007, -1)",0.04593885317444801,"[  0.   0.   0.  40.  55.   1.   1.   0.  99.  24.   5.  31.  30.   4.
   9.  27. 113.  56.  38.  18.   5.   0.   2.  22.   1.   6.  31.  51.
  45.   1.   0.   0.  12.   7.   7.  72.  41.   2.   2.   4. 113.  19.
   5.   9.  13.   7.  47. 113.  32.  28.  39.   8.   8.  75.  61.  47.
   0.   7.  58.  89.  67.  35.   2.   0.  31.   5.   4.  40.  50.   4.
   6.  57. 113.  22.  10.   7.   6.  13.  17. 113.  20.   9.  64.  69.
  36.  60.  14.  11.   0.   0.  17. 113. 113.  27.   1.   0.  99.   1.
   1.  13.  11.   1.   1.  72.  96.   0.   0.   9.  27.  21.  12. 113.
   0.   0.   7.  31. 108.  83.   3.   2.   5.   0.   5.  75. 113.  16.
   0.   3.]"
"(969.8601684570312, 984.4075317382812, 3.1261394023895264, 178.4320068359375, 0.04576408490538597, 6685695, -1)",0.04576408490538597,"[  0.   0.   4. 102.  77.   0.   0.   0.   0.   1.   0.  77. 121.   5.
  19.  17.   1.   2.   0.   3.  13.  23.  67.  30.  11.   1.   0.   4.
  16.  65.  46.   6.   2.   0.   1.  99. 121.   5.   3.   4.  35.   0.
   0.  32.  58.  15.  92. 121.   5.   0.   0.   0.  13.  98. 121.  49.
   2.   1.   0.   1.  80.  83.  26.   1.  13.   1.   0.  15. 121.   5.
   1.   3. 121.  17.   0.   3.  26.   6.  11.  42.  36.   6.   0.  12.
 103.  62.  19.  10.   1.   0.   0.   3. 121.  56.   1.   0.   9.   1.
   0.   6. 104.   9.   0.   1. 121.   9.   0.   3.  20.   3.   0.   3.
  37.   3.   0.  15.  86.  11.   0.   0.   0.   0.   0.   8. 121.  18.
   0.   0.]"
"(969.8601684570312, 984.4075317382812, 3.1261394023895264, 178.4320068359375, 0.04576408490538597, 6685695, -1)",0.04576408490538597,"[  0.   0.   4. 102.  77.   0.   0.   0.   0.   1.   0.  77. 121.   5.
  19.  17.   1.   2.   0.   3.  13.  23.  67.  30.  11.   1.   0.   4.
  16.  65.  46.   6.   2.   0.   1.  99. 121.   5.   3.   4.  35.   0.
   0.  32.  58.  15.  92. 121.   5.   0.   0.   0.  13.  98. 121.  49.
   2.   1.   0.   1.  80.  83.  26.   1.  13.   1.   0.  15. 121.   5.
   1.   3. 121.  17.   0.   3.  26.   6.  11.  42.  36.   6.   0.  12.
 103.  62.  19.  10.   1.   0.   0.   3. 121.  56.   1.   0.   9.   1.
   0.   6. 104.   9.   0.   1. 121.   9.   0.   3.  20.   3.   0.   3.
  37.   3.   0.  15.  86.  11.   0.   0.   0.   0.   0.   8. 121.  18.
   0.   0.]"
"(935.4971313476562, 354.9007568359375, 2.518181562423706, 178.3633270263672, 0.045160289853811264, 7734015, -1)",0.045160289853811264,"[ 27.  32.  10.  26.  36.   6.   3.  13. 125. 102.  10.   5.   1.   3.
  20.  64.  10.  14.  34.  60.  12.  34.  54.  11.   0.   0.  21.  68.
  65.  40.  17.   0.  37.  19.   6.  17.  72.  19.   7.  33. 136.  72.
   8.   5.   3.  11.  17. 136.  18.  11.  28.  51.  27. 110.  59.  24.
   0.   0.  18.  54.  49. 107.  44.   0.  67.   7.   1.   4.  55.   9.
   2.  12. 136.  39.   0.   0.   7.   4.   5.  42.  49.   7.   0.   6.
 103.  44.  18.   8.   0.   0.   0.   5. 130.  54.  14.   0.  56.  11.
   3.  22.  39.   1.   0.   0. 136.  26.   0.   0.   4.   1.   0.   0.
  60.   5.   0.   0.  88.  17.   0.   0.   0.   0.   0.   1. 118.  19.
   0.   0.]"
"(960.6381225585938, 871.967041015625, 3.9482147693634033, 1.300079345703125, 0.04507184401154518, 6816000, -1)",0.04507184401154518,"[ 20.  36.  11.  32.  62.   0.   0.   0.  94.  99.  10.  18.  19.   1.
   0.   1.  72.  25.   7.  42.  42.   3.   0.   1. 128.  17.   1.   0.
   0.   0.   0.   2.  36.  11.   1.   9. 128.  27.   0.   2. 128.  43.
   2.   7.  17.  21.   8.  30. 104.  14.   1.  12.  46.  69.  10.  14.
 128.  23.   0.   0.   1.   0.   0.   2.  28.   0.   0.   0. 116.  51.
   2.   5. 128.   5.   0.   0.  26.  17.   5.  28.  83.  18.   0.   0.
 121.  60.   5.   7. 128.  71.   0.   0.   5.   5.   1.   1.  13.   2.
   1.   5.  68.  21.   4.  13. 128.  11.   0.   0.   7.  10.   7.  75.
  45.   8.   0.   0.  42. 116.  19.  15.  60.  51.   0.   0.  15.  38.
   5.   2.]"
"(939.681884765625, 357.5273742675781, 2.7973639965057373, 152.20257568359375, 0.044970445334911346, 15336191, -1)",0.044970445334911346,"[  0.   0.   1.  40.  28.   0.   0.   0.   1.   0.   3.  62.  46.   1.
   1.   1.  46.   9.   4.  39.  48.  10.  46.  50. 118.  56.  29.   9.
   2.   8.  29.  37.   0.   0.   0.  66.  46.   0.   0.   0.  22.  17.
  20. 118.  48.   4.   6.  12. 118.  40.  13.  12.   5.   5.  50. 118.
  29.  17.  28.   7.   9.  96.  74.  42.   1.   0.   0.  69.  60.   0.
   0.   1.  54.   3.   2.  39.  48.   7.  26. 118. 118.  21.  13.   6.
  17.  31.  56. 118.  14.  15. 110.  28.  33.  63.   7.   5.  16.   2.
   5.  78.  25.   0.   0.  11. 118.   1.   2.   8.   4.   0.   0. 118.
  79.   0.   0.  36.  43.  21.   9.  91.   0.   0.   8.  30.  69.  82.
   3.   0.]"
"(939.681884765625, 357.5273742675781, 2.7973639965057373, 152.20257568359375, 0.044970445334911346, 15336191, -1)",0.044970445334911346,"[  0.   0.   1.  40.  28.   0.   0.   0.   1.   0.   3.  62.  46.   1.
   1.   1.  46.   9.   4.  39.  48.  10.  46.  50. 118.  56.  29.   9.
   2.   8.  29.  37.   0.   0.   0.  66.  46.   0.   0.   0.  22.  17.
  20. 118.  48.   4.   6.  12. 118.  40.  13.  12.   5.   5.  50. 118.
  29.  17.  28.   7.   9.  96.  74.  42.   1.   0.   0.  69.  60.   0.
   0.   1.  54.   3.   2.  39.  48.   7.  26. 118. 118.  21.  13.   6.
  17.  31.  56. 118.  14.  15. 110.  28.  33.  63.   7.   5.  16.   2.
   5.  78.  25.   0.   0.  11. 118.   1.   2.   8.   4.   0.   0. 118.
  79.   0.   0.  36.  43.  21.   9.  91.   0.   0.   8.  30.  69.  82.
   3.   0.]"
"(936.707275390625, 418.54998779296875, 7.477880001068115, 353.4417724609375, 0.0448836013674736, 2883841, -1)",0.0448836013674736,"[  5.   0.   0.   2.  35.   2.   0.   3. 141.  36.   5.   5.  23.   2.
   1.  28.  84.  32.  17.  76.  50.   6.   2.   9. 122.   3.   2.   7.
   7.   1.   0.  23.  16.   1.   0.   4.  49.   3.   1.   4. 141.  10.
   1.   3.  21.  16.  12.  87.  78.   7.   4.  20.  46. 112.  25.  47.
 141.   1.   1.   1.   2.   6.   4.  44.  22.   1.   0.   1.  62.   1.
   0.   2. 141.  41.   4.   7.  24.   5.   2.  26.  96.  23.   8.  54.
  73.  32.   5.  15. 139.   3.   1.   2.   3.   2.   1.  29.  24.   0.
   0.   1.  43.   3.   0.   8. 141.   5.   0.   2.  24.  10.   9.  94.
  69.   6.   1.  15.  83.  35.  11.  24. 126.   2.   0.   1.   1.   1.
   0.  20.]"
"(968.0136108398438, 960.8712768554688, 2.6836798191070557, 257.4283447265625, 0.044722165912389755, 12321535, -1)",0.044722165912389755,"[ 61.  39.  17.  19.  12.  12.  39.  53.  28.   9.  19.  40.  51.  79.
  64.  54.  13.   1.   1.   0.   2.  32. 133.  87.   0.   1.   1.   1.
   1.  58. 133.   1.  25.  88.  56.  40.  22.   1.   0.   0. 133.  47.
  52.  33.   2.   1.   2.  50.  62.  13.  28.   5.   5.  16.  17.  48.
   1.   4.  13.  11.  13.  14.  26.   1.  21.  42.  30.  28.   6.  10.
  31.  11. 133. 133.  62.   7.   1.   3.  14.  15.  21.  63. 133.  10.
   2.   4.   4.   3.   0.  46. 133.  31.   9.   3.   1.   0.   2.   1.
   0.   1.   1.  17. 128.  12.  15.  17.  10.   1.   0.  10. 124.  23.
   1.   8.  51.   4.   0.  21.  82.   1.   0.  16.  54.  15.   4.  31.
  42.   0.]"
"(968.7280883789062, 898.733154296875, 2.577585458755493, 222.35995483398438, 0.04463015869259834, 9437951, -1)",0.04463015869259834,"[ 20.  73.  62.   5.  16.  46.   2.   2.  98.  58.  64.  18.   0.   1.
   1.  27.  24.   9.  30. 110.   8.   1.   3.  29.   0.   0.   1.  73.
  37.  23.  52.  26.  14.   8.   3.   1.  32. 118.   8.   3.  48.  78.
 118.  14.  16.  59.   8.   6. 118.  54.  90.  38.   2.   2.  14.  81.
  26.  12.   1.   4.  18.  61.  62.  79.   0.   0.   0.   0.  11. 118.
   6.   0.  13.   4.   9.   4.  13. 118.  53.  13. 118. 118.  14.   1.
   3.  32.  28.  35.  23. 118.  28.   1.  11.  32.   3.   6.   0.   0.
   0.   0.   4.  41.   8.   0.   0.   0.   0.   0.   6.  96.  10.   0.
   1.  24.   8.   2.  24. 104.   3.   1.   1. 118.  23.   1.   7.  18.
   0.   0.]"
